id,japones,hiragana,romaji,traduccion
4049,夏休み,なつやすみ,natsuyasumi,Vacaciones de verano
4050,冬休み,ふゆやすみ,fuyuyasumi,Vacaciones de invierno
4051,春休み,はるやすみ,haruyasumi,Vacaciones de primavera
4052,部活,ぶかつ,bukatsu,Actividades extraescolares / Club escolar
4053,文化祭,ぶんかさい,bunkasai,Festival cultural (escolar)
4054,運動会,うんどうかい,undoukai,Día de deportes / Competición atlética (escolar)
4055,留学する,りゅうがくする,ryuugaku suru,Estudiar en el extranjero
4056,奨学金,しょうがくきん,shougakukin,Beca
4057,質問する,しつもんする,shitsumon suru,Preguntar
4060,復習する,ふくしゅうする,fukushuu suru,Repasar
4061,予習する,よしゅうする,yoshuu suru,Preparar la lección
4062,3.,,Hobbies y,Ocio (趣味と余暇活動 - Shumi to Yoka Katsudou)
4064,余暇,よか,yoka,Tiempo libre / Ocio
4065,読書,どくしょ,dokusho,Lectura
4066,音楽鑑賞,おんがくかんしょう,ongaku kanshou,Escuchar música
4067,映画鑑賞,えいがかんしょう,eiga kanshou,Ver películas
4070,サッカー,さっかー,sakkaa,Fútbol
4071,野球,やきゅう,yakyuu,Béisbol
4072,バスケットボール,ばすけっとぼーる,basukettobooru,Baloncesto
4075,水泳,すいえい,suiei,Natación
4078,登山,とざん,tozan,Montañismo / Alpinismo
4080,釣り,つり,tsuri,Pesca
4082,ガーデニング / 園芸,えんげい,gaadeningu / engei,Jardinería
4084,絵を描くこと,えをかくこと,e o kaku koto,Dibujar / Pintar
4085,書道,しょどう,shodou,Caligrafía
4086,華道 (かどう) / 生け花,いけばな,kadou / ikebana,Arreglo floral japonés
4087,茶道,さどう,sadou,Ceremonia del té
4088,楽器を弾くこと,がっきをひくこと,gakki o hiku koto,Tocar un instrumento musical
4089,ギター,ぎたー,gitaa,Guitarra
4091,歌うこと,うたうこと,utau koto / karaoke,Cantar / Karaoke
4092,ダンス / 踊ること,おどること,dansu / odoru koto,Bailar / Danza
4094,アニメ,あにめ,anime,Anime / Dibujos animados
4095,漫画,マンガ,manga,Manga / Cómic japonés
4096,手芸,しゅげい,shugei,Manualidades / Labores
4097,編み物,あみもの,amimono,Tejer / hacer punto
4098,散歩,さんぽ,sanpo,Paseo
4099,昼寝,ひるね,hirune,Siesta
4100,リラックスする,,rirakkusu suru,Relajarse
4101,友達と会う,ともだちとあう,tomodachi to au,Quedar con amigos
4102,買い物に行く,かいものにいく,kaimono ni iku,Ir a la compra
4103,外食する,がいしょくする,gaishoku suru,Comer fuera
4104,ボランティア,ぼらんてぃあ,borantia,Voluntariado
4105,観る,みる,miru,"Ver (espectáculos, deportes)"
4106,参加する,さんかする,sanka suru,Participar
4107,楽しむ,たのしむ,tanoshimu,Disfrutar
4108,集める,あつめる,atsumeru,Reunir / Juntar / Coleccionar
4110,4.,,Salud y,Medicina (健康と医学 - Kenkou to Igaku)
4111,健康,けんこう,kenkou,Salud
4114,症状,しょうじょう,shoujou,Síntoma
4116,咳,せき,seki,Tos
4118,鼻水,はなみず,hanamizu,Mucosidad nasal / Moqueo
4119,鼻詰まり,はなづまり,hanazumari,Congestión nasal
4120,喉の痛み,のどのいたみ,nodo no itami,Dolor de garganta
4121,頭痛,ずつう,zutsuu,Dolor de cabeza
4122,腹痛,ふくつう,fukutsuu,Dolor de estómago / abdominal
4123,吐き気,はきけ,hakike,Náuseas
4124,嘔吐する,おうとする,outo suru,Vomitar
4125,下痢,げり,geri,Diarrea
4126,便秘,べんぴ,benpi,Estreñimiento
4127,めまい,めまい,memai,Mareo / Vértigo
4132,インフルエンザ,いんふるえんざ,infuruenza,Gripe
4134,花粉症,かふんしょう,kafunshou,Alergia al polen / Fiebre del heno
4135,喘息,ぜんそく,zensoku,Asma
4136,医者 (いしゃ) / 医師,いし,isha / ishi,Médico / doctor
4137,看護師,かんごし,kangoshi,Enfermero / a
4138,患者,かんじゃ,kanja,Paciente
4140,診療所,しんりょうじょ,shinryoujo / kurinikku,Clínica
4143,処方箋,しょほうせん,shohousen,Receta médica
4144,診察,しんさつ,shinsatsu,Consulta médica / Examen médico
4145,検査,けんさ,kensa,Análisis / Prueba médica
4146,注射,ちゅうしゃ,chuusha,Inyección
4147,手術,しゅじゅつ,shujutsu,Operación quirúrgica
4148,入院する,にゅういんする,nyuuin suru,Ingresar en el hospital / Hospitalizar
4149,退院する,たいいんする,taiin suru,dar el alta hospitalaria / salir del hospital
4150,お見舞い,おみまい,omimai,Visita a un enfermo
4151,内科,ないか,naika,Medicina interna
4152,外科,げか,geka,Cirugía
4153,小児科,しょうにか,shounika,Pediatría
4154,眼科,がんか,ganka,Oftalmología
4155,耳鼻科,じびか,jibika,Otorrinolaringología
4156,皮膚科,ひふか,hifuka,Dermatología
4157,歯科 (しか) / 歯医者,はいしゃ,shika / haisha,Odontología / Dentista
4158,健康保険証,けんこうほけんしょう,kenkou hokenshou,Tarjeta del seguro médico
4159,具合が悪い,ぐあいがわるい,guai ga warui,Sentirse mal / Indispuesto
4160,安静にする,あんせいにする,ansei ni suru,Descansar / Guardar reposo
4161,予防,よぼう,yobou,Prevención
4162,5.,,Sentimientos y,Emociones (感情と気持ち - Kanjou to Kimochi)
4163,感情,かんじょう,kanjou,Emoción / Sentimiento
4168,幸せ,しあわせ,shiawase,(na) Feliz (estado general de felicidad)
4173,腹が立つ,はらがたつ,hara ga tatsu,Enfadarse / Estar molesto
4175,心配,しんぱい,shinpai,(na) Preocupado
4176,心配する,しんぱいする,shinpai suru,Preocuparse
4177,不安,ふあん,fuan,(na) Inquieto / Ansioso
4178,安心する,あんしんする,anshin suru,Tranquilizarse / Sentirse aliviado
4179,びっくりする,びっくりする,bikkuri suru,Sorprenderse / Asustarse
4180,驚く,おどろく,odoroku,Sorprenderse / Asombrarse
4181,緊張する,きんちょうする,kinchou suru,Ponerse nervioso / Estar tenso
4182,恥ずかしい,はずかしい,hazukashii,Avergonzado / Tímido
4183,がっかりする,がっかりする,gakkari suru,Decepcionarse
4184,残念,ざんねん,zannen,(na) Lamentable / Decepcionante
4185,感動する,かんどうする,kandou suru,Emocionarse / Conmoverse
4186,興奮する,こうふんする,koufun suru,Excitarse / Entusiasmarse
4187,わくわくする,わくわくする,wakuwaku suru,Estar emocionado / Expectante (onomatopeya)
4188,どきどきする,どきどきする,dokidoki suru,Estar nervioso / Corazón palpitante (onomatopeya)
4189,イライラする,,iraira suru,Estar irritado / Nervioso (onomatopeya)
4190,むかつく,むかつく,mukatsuku,Sentirse molesto / Irritado / Tener náuseas
4191,落ち込む,おちこむ,ochikomu,Deprimirse / Desanimarse
4194,懐かしい,なつかしい,natsukashii,Nostálgico
4195,羨ましい,うらやましい,urayamashii,Tener envidia (sentimiento positivo o neutro)
4196,憎い,にくい,nikui,Odiado / Detestable
4197,嫌,いや,iya,(na) Desagradable / Odiado / No querer
4199,大好き,だいすき,daisuki,(na) Encantar / Querer mucho
4200,愛している,あいしている,aishiteiru,"Amar (romántico, profundo)"
4201,感謝する,かんしゃする,kansha suru,Agradecer / Estar agradecido
4202,満足する,まんぞくする,manzoku suru,Estar satisfecho
4203,不満,ふまん,fuman,(na) Insatisfecho / Queja
4206,微笑む,ほほえむ,hohoemu,Sonreír
4207,ため息をつく,ためいきをつく,tameiki o tsuku,Suspirar
4208,ストレスが溜まる,ストレスがたまる,sutoresu ga tamaru,Acumular estrés
4209,気分転換,きぶんてんかん,kibun tenkan,Cambio de aires / Distracción
4210,6. Tecnología,,e,Internet (テクノロジーとインターネット - Tekunorojii to Intaanetto)
4211,テクノロジー,てくのろじー,tekunorojii,Tecnología
4213,ウェブサイト / サイト,うぇぶさいと / さいと,webusaito / saito,Sitio web / Página web
4214,ホームページ,ほーむぺーじ,hoomupeeji,Página de inicio / Sitio web
4215,ブログ,ぶろぐ,burogu,Blog
4216,SNS,エスエヌエス,esu enu esu,Redes Sociales
4217,メールアドレス,めーるあどれす,meeru adoresu,Dirección de correo electrónico
4218,アカウント,あかうんと,akaunto,Cuenta (de usuario)
4219,ユーザー名,ユーザーめい,yuuzaamei,Nombre de usuario
4220,パスワード,ぱすわーど,pasuwaado,Contraseña
4221,ログインする,,roguin suru,Iniciar sesión / Log in
4222,ログアウトする,,roguauto suru,Cerrar sesión / Log out
4223,検索する,けんさくする,kensaku suru,Buscar (en internet)
4224,クリックする,,kurikku suru,hacer clic
4225,ダウンロードする,,daunroodo suru,Descargar
4226,アップロードする,,appuroodo suru,Subir (archivos)
4227,インストールする,,insutooru suru,Instalar
4228,アプリ,あぷり,apuri,Aplicación (App)
4229,スマートフォン / スマホ,すまーとふぉん / すまほ,sumaato fon / sumaho,Smartphone
4230,タブレット,たぶれっと,taburetto,Tableta
4231,ノートパソコン,のーとぱそこん,nooto pasokon,Ordenador portátil / Laptop
4232,デスクトップ,ですくとっぷ,desukutoppu,Ordenador de sobremesa
4233,ソフトウェア,そふとうぇあ,sofutowea,Software
4235,Wi-Fi,ワイファイ,waifai,Wi-Fi
4236,接続する,せつぞくする,setsuzoku suru,Conectar(se)
4237,オンライン,おんらいん,onrain,En línea / Online
4238,オフライン,おふらいん,ofurain,Fuera de línea / Of fline
4239,チャット,ちゃっと,chatto,Chat
4241,投稿する,とうこうする,toukou suru,Publicar / Postear
4242,いいね！,する,ii,ne! ¡Me gusta! (Like)
4243,シェアする,,shea suru,Compartir
4244,フォローする,,foroo suru,Seguir (en redes sociales)
4245,メッセージ,めっせーじ,messeeji,Mensaje
4246,通知,つうち,tsuuchi,Notificación
4247,設定,せってい,settei,Configuración / Ajustes
4249,ウイルス,ういるす,uirusu,Virus (informático)
4250,ハッカー,はっかー,hakkaa,Hacker
4251,セキュリティ,せきゅりてぃ,sekyuriti,Seguridad
4252,電池,でんち,denchi / batterii,Batería / Pila
4253,充電する,じゅうでんする,juuden suru,Cargar (batería)
4254,充電器,じゅうでんき,juudenki,Cargador
4255,電源を入れる,でんげんをいれる,dengen o ireru,Encender (aparato electrónico)
4256,電源を切る,でんげんをきる,dengen o kiru,Apagar (aparato electrónico)
4257,故障する,こしょうする,koshou suru,Averiarse / Estropearse
4258,修理する,しゅうりする,shuuri suru,Reparar
4259,人工知能,じんこうちのう,AI jinkou chinou / ei ai,Inteligencia Artificial (IA)
4260,7.,,Cocina y,Utensilios (料理と台所用品 - Ryouri to Daidokoro Youhin) Métodos de Cocina
4263,焼く,やく,yaku,Asar / Hornear / Tostar / hacer a la plancha
4264,炒める,いためる,itameru,Saltear
4265,揚げる,あげる,ageru,Freír (en abundante aceite)
4266,煮る,にる,niru,"Cocer / Hervir (en caldo, salsa)"
4267,茹でる,ゆでる,yuderu,Cocer / Hervir (en agua)
4268,蒸す,むす,musu,Cocer al vapor
4269,炊く,たく,taku,Cocer arroz
4270,切る,きる,kiru,Cortar
4271,混ぜる,まぜる,mazeru,Mezclar
4272,温める,あたためる,atatameru,Calentar
4273,冷やす,ひやす,hiyasu,Enfriar
4274,味付けする,あじつけする,ajitsuke suru,Sazonar / Condimentar Utensilios de Cocina
4277,冷凍庫,れいとうこ,reitouko,Congelador
4278,電子レンジ,でんしレンジ,denshi renji,Microondas
4279,オーブン,おーぶん,oobun,Horno
4280,炊飯器,すいはんき,suihanki,Arrocera eléctrica
4281,トースター,とーすたー,toosutaa,Tostadora
4282,やかん / ケトル,,yakan / ketoru,Tetera / Hervidor de agua
4283,鍋,なべ,nabe,Olla / Cazuela
4285,包丁,ほうちょう,houchou,Cuchillo de cocina
4286,まな板,まないた,manaita,Tabla de cortar
4287,おたま,おたま,otama,Cucharón
4288,フライ返し,フライがえし,furaigaeshi,Espátula (para sartén)
4289,菜箸,さいばし,saibashi,Palillos largos de cocina
4290,ボウル,ぼうる,bouru,Bol / Cuenco grande
4291,ざる,ざる,zaru,Colador (tipo cesta)
4292,泡立て器,あわだてき,awadateki,Batidora de varillas
4293,計量カップ,けいりょうカップ,keiryou kappu,Taza medidora
4294,計量スプーン,けいりょうスプーン,keiryou supuun,Cuchara medidora
4295,食器,しょっき,shokki,Vajilla
4298,お椀,おわん,owan,Cuenco (para sopa)
4299,コップ / グラス,こっぷ / ぐらす,koppu / gurasu,Vaso
4300,マグカップ,まぐかっぷ,magukappu,"Taza (grande, mug)"
4302,箸置き,はしおき,hashioki,Reposapalillos
4306,台拭き,だいぶき,daibuki,Paño de cocina (para limpiar la mesa)
4307,食器用洗剤,しょっきようせんざい,shokkiyou senzai,Detergente lavavajillas
4308,スポンジ,すぽんじ,suponji,Esponja / Estropajo
4309,エプロン,えぷろん,epuron,Delantal
4310,8.,,Rasgos de,Personalidad (性格 - Seikaku)
4311,性格,せいかく,seikaku,Personalidad / Carácter
4318,不真面目,ふまじめ,fumajime,(na) Poco serio / Informal / V ago
4319,正直,しょうじき,shoujiki,(na) Honesto / Sincero
4320,誠実,せいじつ,seijitsu,(na) Sincero / Honrado / Fiel
4321,素直,すなお,sunao,(na) Obediente / Dócil / Honesto (sin dobleces)
4322,頑固,がんこ,ganko,(na) Testarudo / Obstinado
4324,恥ずかしがり屋,はずかしがりや,hazukashigariya,Tímido / a
4325,人見知り,ひとみしり,hitomishiri,Tímido con extraños
4326,社交的,しゃこうてき,shakouteki,(na) Sociable
4327,積極的,せっきょくてき,sekkyokuteki,(na) Activo / Positivo / Proactivo
4328,消極的,しょうきょくてき,shoukyokuteki,(na) Pasivo / Negativo
4329,大人しい,おとなしい,otonashii,Tranquilo / Callado / Manso
4330,活発,かっぱつ,kappatsu,(na) Activo / V ivaz
4332,冷静,れいせい,reisei,(na) Calmado / Sereno
4333,短気,たんき,tanki,(na) Impaciente / De mal genio
4334,気が長い,きがながい,ki ga nagai,Paciente
4335,のんびりしている,のんびりしている,nonbiri shiteiru,Relajado / Despreocupado / Tranquilo
4336,せっかち,せっかち,sekkachi,(na) Precipitado / Impaciente
4337,賢い,かしこい,kashikoi,Inteligente / Listo / Astuto
4338,頭がいい,あたまがいい,atama ga ii,Inteligente / Listo
4339,鈍い,にぶい,nibui,Lento / Torpe (de mente o reflejos) / Insensible
4340,器用,きよう,kiyou,(na) Hábil / Mañoso
4341,不器用,ぶきよう,bukiyou,(na) Torpe / Patoso
4344,強い,つよい,tsuyoi,Fuerte (física o mentalmente)
4345,弱い,よわい,yowai,Débil
4346,勇敢,ゆうかん,yuukan,(na) Valiente
4347,臆病,おくびょう,okubyou,(na) Cobarde
4348,努力家,どりょくか,doryokuka,Trabajador / a / Esforzado / a
4349,怠け者,なまけもの,namakemono,Perezoso / a / V ago / a
4350,責任感がある,せきにんかんがある,sekininkan ga aru,Responsable / Sentido de la responsabilidad
4351,無責任,むせきにん,musekinin,(na) Irresponsable
4352,好奇心が強い,こうきしんがつよい,koukishin ga tsuyoi,Curioso / a
4353,思いやりがある,おもいやりがある,omoiyari ga aru,Considerado / a / Comprensivo / a
4354,謙虚,けんきょ,kenkyo,(na) Humilde / Modesto
4355,自信家,じしんか,jishinka,Seguro / a de sí mismo / a / Confiado / a
4356,楽観的,らっかんてき,rakkanteki,(na) Optimista
4357,悲観的,ひかんてき,hikanteki,(na) Pesimista
4358,9.,,Relaciones,Sociales (人間関係 - Ningen Kankei)
4359,人間関係,にんげんかんけい,ningen kankei,Relaciones humanas / interpersonales
4360,知り合い,しりあい,shiriai,Conocido / a
4362,親友,しんゆう,shin'yuu,Mejor amigo / a
4363,仲間,なかま,nakama,Compañero / a / Camarada / Miembro de un grupo
4364,恋人,こいびと,koibito,Novio / a / Amante
4365,彼氏,かれし,kareshi,Novio
4367,婚約者,こんやくしゃ,kon'yakusha,Prometido / a
4368,夫婦,ふうふ,fuufu,Matrimonio / Pareja casada
4377,生徒 (せいと) / 学生,がくせい,seito / gakusei,Alumno / Estudiante
4378,ん)rinjin /,,otonarisan,Vecino / a
4379,他人,たにん,tanin,Otra persona / Extraño
4380,知り合う,しりあう,shiriau,Conocerse
4381,仲良くする,なかよくする,nakayoku suru,Llevarse bien
4382,付き合う,つきあう,tsukiau,salir con alguien / Tener una relación / Acompañar
4383,デートする,,deeto suru,Tener una cita
4384,結婚する,けっこんする,kekkon suru,Casarse
4385,離婚する,りこんする,rikon suru,Divorciarse
4386,別れる,わかれる,wakareru,Separarse / Dividirse / Romper (relación)
4387,喧嘩する,けんかする,kenka suru,Pelearse / Discutir
4388,仲直りする,なかなおりする,nakanaori suru,Reconciliarse
4391,世話をする,せわをする,sewa o suru,Cuidar de alguien
4392,紹介する,しょうかいする,shoukai suru,Presentar (a alguien)
4393,招待する,しょうたいする,shoutai suru,Invitar
4394,訪問する,ほうもんする,houmon suru,Visitar
4395,尊敬する,そんけいする,sonkei suru,Respetar
4396,信頼する,しんらいする,shinrai suru,Confiar
4397,裏切る,うらぎる,uragiru,Traicionar
4398,誤解する,ごかいする,gokai suru,Malinterpretar / Entender mal
4399,コミュニケーション,こみゅにけーしょん,komyunikeeshon,Comunicación
4400,関係,かんけい,kankei,Relación / Conexión
4401,チームワーク,ちーむわーく,chiimuwaaku,Trabajo en equipo
4402,グループ,ぐるーぷ,guruupu,Grupo
4404,リーダー,りーだー,riidaa,Líder
4405,10.,,Onomatopeyas,Comunes (擬音語・擬態語 - Giongo ・ Gitaigo) Japonés (Kana) Romaji Español / Descripción
4406,Sonidos,,-,Giongo)
4407,わんわん,わんわん,wanwan,Guau guau (ladrido de perro)
4408,にゃーにゃー,にゃーにゃー,nyaanyaa,Miau miau (maullido de gato)
4409,こけこっこー,こけこっこー,kokekokkoo,Kikirikí (canto de gallo)
4410,ぶーぶー,ぶーぶー,buubuu,Brum brum (coche) / Oinc oinc (cerdo) / Quejido
4412,ぽつぽつ,ぽつぽつ,potsupotsu,Sonido de lluvia ligera / Gotas
4413,ごろごろ,ごろごろ,gorogoro,Sonido de trueno / Ronroneo (gato) / Rodar / Holgazanear
4416,がちゃん,がちゃん,gachan,Clang / Ruido metálico al caer o chocar
4417,ぱちぱち,ぱちぱち,pachipachi,Aplauso / Chasquido (fuego)
4418,じゅうじゅう,じゅうじゅう,juujuu,Sonido de freír o asar
4419,ごくごく,ごくごく,gokugoku,Sonido de tragar bebida rápidamente
4420,ぱくぱく,ぱくぱく,pakupaku,Sonido de comer / Mover la boca (pez)
4421,Estados/Acciones,,-,Gitaigo)
4426,しくしく,しくしく,shikushiku,Sollozar / Llorar en silencio
4428,どきどき,どきどき,dokidoki,"Corazón palpitante (nervios, emoción)"
4430,むかむか,むかむか,mukamuka,Sentirse mareado / Enojado
4436,うとうと,うとうと,utouto,Dormitar / Cabecear de sueño
4437,ぼーっと,ぼーっと,bootto,Distraído / Aturdido / En las nubes
4446,めちゃくちゃ,めちゃくちゃ,mechakucha,Desordenado / Confuso / Muchísimo (informal)
4448,ふわふわ,ふわふわ,fuwafuwa,"(suru / na) Esponjoso / Suave / Ligero (nubes, algodón)"
4453,ほかほか,ほかほか,hokahoka,"Caliente / Recién hecho (comida, baño)"
4455,11.,,Herramientas y,Materiales (道具と材料 - Dougu to Zairyou)
4456,道具,どうぐ,dougu,Herramienta / Utensilio
4457,材料,ざいりょう,zairyou,Material / Ingrediente
4458,ハンマー / かなづち,,hanmaa / kanazuchi,Martillo
4459,釘,くぎ,kugi,Clavo
4460,ねじ / スクリュー,,neji / sukuryuu,Tornillo
4461,ドライバー,どらいばー,doraibaa,Destornillador
4462,ペンチ,ぺんち,penchi,Alicates
4463,のこぎり,のこぎり,nokogiri,Sierra / Serrucho
4464,はさみ,はさみ,hasami,Tijeras
4465,カッター,かったー,kattaa,Cúter
4466,定規 (じょうぎ) / 物差し,ものさし,jougi / monosashi,Regla / Metro
4467,メジャー / 巻尺,まきじゃく,mejaa / makijaku,Cinta métrica
4468,ペンキ,ぺんき,penki,Pintura (líquida)
4469,刷毛,はけ,hake,Brocha / Pincel
4470,接着剤,せっちゃくざい,setchakuzai / bondo,Adhesivo / Pegamento
4471,テープ,てーぷ,teepu,Cinta adhesiva
4472,ロープ / 縄,なわ,roopu / nawa,Cuerda / Soga
4473,紐,ひも,himo,Cordel / Cuerda fina / Lazo
4474,針,はり,hari,Aguja
4475,糸,いと,ito,Hilo
4476,スコップ / シャベル,すこっぷ / しゃべる,sukoppu / shaberu,Pala
4477,ほうき,ほうき,houki,Escoba
4478,ちりとり,ちりとり,chiritori,Recogedor
4479,バケツ,ばけつ,baketsu,Cubo / Balde
4480,懐中電灯,かいちゅうでんとう,kaichuu dentou,Linterna
4481,電池,でんち,denchi,Pila / Batería
4482,木材,もくざい,mokuzai,Madera (material)
4483,金属,きんぞく,kinzoku,Metal
4484,鉄,てつ,tetsu,Hierro
4485,アルミニウム / アルミ,あるみにうむ / あるみ,aruminiumu / arumi,Aluminio
4488,布 (ぬの) / 生地,きじ,nuno / kiji,Tela / Tejido
4489,綿,めん,men / kotton,Algodón
4490,絹,きぬ,kinu / shiruku,Seda
4491,毛糸,けいと,keito,Lana (hilo)
4492,革,かわ,kawa / rezaa,Cuero / Piel
4493,紙,かみ,kami,Papel
4494,段ボール,だんボール,danbooru,Cartón corrugado
4498,コンクリート,こんくりーと,konkuriito,Hormigón / Concreto
4499,レンガ,れんが,renga,Ladrillo
4500,部品,ぶひん,buhin,Pieza / Componente
4501,道具箱,どうぐばこ,dougubako,Caja de herramientas
4503,組み立てる,くみたてる,kumitateru,Montar / Ensamblar
4504,測る,はかる,hakaru,Medir
4506,貼る,はる,haru,Pegar / Adherir
4507,塗る,ぬる,nuru,Pintar / Untar
4508,結ぶ,むすぶ,musubu,Atar / Anudar
4509,12.,,V iajes y,T urismo (旅行と観光 - Ryokou to Kankou)
4511,観光,かんこう,kankou,Turismo
4512,うきゃく)ryokousha /,,kankoukyaku,Viajero / Turista
4513,国内旅行,こくないりょこう,kokunai ryokou,Viaje nacional
4514,海外旅行,かいがいりょこう,kaigai ryokou,Viaje al extranjero
4515,一人旅,ひとりたび,hitoritabi,Viaje en solitario
4516,ツアー,つあー,tsuaa,Tour / V iaje organizado
4517,ガイド,がいど,gaido,Guía (persona)
4518,ガイドブック,がいどぶっく,gaidobukku,Guía (libro)
4520,計画を立てる,けいかくをたてる,keikaku o tateru,Planificar / hacer planes
4521,予約する,よやくする,yoyaku suru,Reservar
4522,予約,よやく,yoyaku,Reserva
4523,キャンセルする,,kyanseru suru,Cancelar
4524,パスポート,ぱすぽーと,pasupooto,Pasaporte
4525,ビザ / 査証,さしょう,biza / sashou,Visado
4526,航空券,こうくうけん,koukuuken / chiketto,Billete de avión / Ticket
4527,荷物,にもつ,nimotsu,Equipaje
4528,スーツケース,すーつけーす,suutsukeesu,Maleta
4529,リュックサック / バックパック,りゅっくさっく / ばっくぱっく,ryukkusakku / bakku pakku,Mochila
4532,フライト / 便,びん,furaito / bin,Vuelo
4533,ックインtoujou,,tetsuzuki / chekkuin,Facturación / Check-in
4534,搭乗券,とうじょうけん,toujouken,Tarjeta de embarque
4535,税関,ぜいかん,zeikan,Aduana
4536,入国審査,にゅうこくしんさ,nyuukoku shinsa,Control de inmigración
4539,民宿,みんしゅく,minshuku,Casa particular (tipo B&B)
4540,ホステル,ほすてる,hosuteru,Hostal / Albergue
4541,まる)shukuhaku,,suru / tomaru,Alojarse / Pernoctar
4542,チェックインする,,chekkuin suru,Registrarse (en el hotel)
4543,チェックアウトする,,chekkuauto suru,Dejar la habitación / Check-out
4544,観光地,かんこうち,kankouchi,Lugar turístico / Atracción turística
4545,名所,めいしょ,meisho,Lugar famoso / Punto de interés
4546,景色,けしき,keshiki,Paisaje / V ista
4547,写真を撮る,しゃしんをとる,shashin o toru,hacer fotos
4549,道に迷う,みちにまよう,michi ni mayou,Perderse
4550,両替する,りょうがえする,ryougae suru,Cambiar dinero (divisas)
4551,時差,じさ,jisa,Diferencia horaria
4552,現地,げんち,genchi,Local / Del lugar
4553,体験,たいけん,taiken,Experiencia
4554,思い出,おもいで,omoide,Recuerdo
4555,13.,,Banca y,Dinero (銀行とお金 - Ginkou to Okane)
4557,ATM,エーティーエム,ee tii emu,Cajero automático
4558,口座,こうざ,kouza,Cuenta bancaria
4559,普通預金,ふつうよきん,futsuu yokin,Cuenta corriente / de ahorros (ordinaria)
4560,定期預金,ていきよきん,teiki yokin,Depósito a plazo fijo
4561,キャッシュカード,きゃっしゅかーど,kyasshu kaado,Tarjeta de cajero / débito
4563,暗証番号,あんしょうばんごう,anshou bangou,Número PIN / Contraseña
4566,お札 (おさつ) / 紙幣,しへい,osatsu / shihei,Billete
4567,硬貨 (こうか) / 小銭,こぜに,kouka / kozeni,Moneda / Dinero suelto
4570,ユーロ,ゆーろ,yuuro,Euro
4571,預金する,よきんする,yokin suru,Ingresar dinero / Depositar
4572,引き出す (ひきだす) / 下ろす,おろす,hikidasu / orosu,Retirar / Sacar dinero
4573,振り込む,ふりこむ,furikomu,hacer una transferencia bancaria
4574,振込,ふりこみ,furikomi,Transferencia bancaria
4575,残高,ざんだか,zandaka,Saldo (de la cuenta)
4576,通帳,つうちょう,tsuuchou,Libreta bancaria
4577,手数料,てすうりょう,tesuuryou,Comisión / Tarifa (bancaria)
4578,利子 (りし) / 利息,りそく,rishi / risoku,Interés (dinero)
4579,ローン,ろーん,roon,Préstamo
4580,借金,しゃっきん,shakkin,Deuda
4581,両替,りょうがえ,ryougae,Cambio de divisas
4582,為替レート,かわせレート,kawase reeto,Tipo de cambio
4583,送金する,そうきんする,soukin suru,Enviar dinero / Remesa
4584,支払う,しはらう,shiharau,Pagar
4585,支払い,しはらい,shiharai,Pago
4586,請求書,せいきゅうしょ,seikyuusho,Factura
4587,領収書,りょうしゅうしょ,ryoushuusho,Factura / Recibo formal
4588,税金,ぜいきん,zeikin,Impuestos
4589,消費税,しょうひぜい,shouhizei,Impuesto al consumo (IV A)
4590,収入,しゅうにゅう,shuunyuu,Ingresos
4591,支出,ししゅつ,shishutsu,Gastos
4592,予算,よさん,yosan,Presupuesto
4593,節約する,せつやくする,setsuyaku suru,Ahorrar (gastar menos)
4594,貯金する,ちょきんする,chokin suru,Ahorrar / Guardar dinero
4595,投資する,とうしする,toushi suru,Invertir
4596,株,かぶ,kabu,Acciones (bolsa)
4597,保険,ほけん,hoken,Seguro
4598,財産,ざいさん,zaisan,Bienes / Patrimonio / Propiedad
4599,貧乏,びんぼう,binbou,(na) Pobre
4600,お金持ち,おかねもち,okanemochi,Rico / Adinerado
4601,14.,,Problemas y,Emergencias (問題と緊急事態 - Mondai to Kinkyuu Jitai)
4604,大変,たいへん,taihen,(na) Terrible / Grave / Difícil / Muy
4605,緊急,きんきゅう,kinkyuu,Emergencia / Urgente
4606,緊急事態,きんきゅうじたい,kinkyuu jitai,Estado de emergencia
4608,交通事故,こうつうじこ,koutsuu jiko,Accidente de tráfico
4610,怪我をする,けがをする,kega o suru,Lesionarse / Herirse
4613,津波,つなみ,tsunami,Tsunami / Maremoto
4615,洪水,こうずい,kouzui,Inundación
4616,停電,ていでん,teiden,Apagón / Corte de luz
4617,断水,だんすい,dansui,Corte de agua
4618,泥棒,どろぼう,dorobou,Ladrón
4619,盗む,ぬすむ,nusumu,Robar
4620,盗まれる,ぬすまれる,nusumareru,Ser robado
4621,紛失する,ふんしつする,funshitsu suru,Perder (un objeto)
4622,落とし物,おとしもの,otoshimono,Objeto perdido
4623,忘れ物,わすれもの,wasuremono,Objeto olvidado
4624,故障,こしょう,koshou,Avería / Fallo
4627,警察署,けいさつしょ,keisatsusho,Comisaría de policía
4628,交番,こうばん,kouban,"Puesto de policía (pequeño, de barrio)"
4629,まわりさん)keisatsukan /,,omawarisan,Oficial de policía / Agente
4630,消防署,しょうぼうしょ,shoubousho,Parque de bomberos
4631,消防士,しょうぼうし,shouboushi,Bombero / a
4633,呼ぶ,よぶ,yobu,"Llamar (a alguien, a la policía, etc.)"
4634,110番,ひゃくとおばん,hyakutooban,Número 110 (policía)
